Cycle ID,Cap_Chg(mAh),Cap_DChg(mAh),Specific Capacity-Chg(mAh/g),Specific Capacity-Dchg(mAh/g),Chg/DChg Efficiency(%),Engy_Chg(mWh),Engy_DChg(mWh),REngy_Chg(mWh/g),REngy_Dchg(mWh/g),CC_Chg_Ratio(%),CC_Chg_Cap(mAh),Plat_Cap(mAh),Plat_Capacity Density(mAh/g),Plat_Cap_Efficiency(%),Plat_Time(sec),Capacity_Chg(F),Capacity_DChg(F),IR(O),Mid_value Voltage(V),Discharge Fading Ratio(%),Charge Time(sec),Discharge Time(sec),Charge IR(O),Discharge IR(O),End Temperature(°C),Net Cap_DChg(mAh),Net Engy_DChg(mWh),Energy Efficiency(%),
,Step ID,Step Name,Step Time(sec),Capacity(mAh),Capacity Density(mAh/g),Energy(mWh),CmpEngergy(mWh/g),Capacitance(F),Start Voltage(V),End Voltage(V),Start Temperature(°C),End Temperature(°C),End Capacity(mAh),Charge Mid-Vol(V),Discharge Mid-Vol(V),DCIR(O),ChargeCap(mAh),DischargeCap(mAh),Engy_Chg(mWh),Engy_DChg(mWh),Net DischargeCap(mAh),Net Engy_DChg(mWh),Raw Step ID,
,,Record ID,Time(sec),Voltage(V),Current(mA),Temperature(°C),Capacity(mAh),Capacity Density(mAh/g),Energy(mWh),CmpEng(mWh/g),Realtime,Min-T(°C),Max-T(°C),Avg-T(°C),Power(mW),Capacitance_Chg(mAh),Capacitance_DChg(mAh),Engy_Chg(mWh),Engy_DChg(mWh),dQ/dV(mAh/V),dQm/dV(mAh/V.g),Contact IR(O),
,,11,31.90,1.4580,0.126,0.0,0.0011,0.8865,0.0011,0.8909,05/03/2022 12:18:22,,,,0.18,0.0011,0.0000,0.0011,0.0000,0.0015,1.1510,11566.839,
,,12,36.70,1.5587,0.126,0.0,0.0013,1.0198,0.0014,1.0924,05/03/2022 12:18:27,,,,0.20,0.0013,0.0000,0.0014,0.0000,0.0017,1.3246,12365.728,
,,13,42.30,1.6589,0.126,0.0,0.0015,1.1755,0.0017,1.3431,05/03/2022 12:18:32,,,,0.21,0.0015,0.0000,0.0017,0.0000,0.0020,1.5531,13160.651,
,,14,48.90,1.7599,0.126,0.0,0.0017,1.3589,0.0021,1.6570,05/03/2022 12:18:39,,,,0.22,0.0017,0.0000,0.0021,0.0000,0.0023,1.8159,13961.920,
,,15,56.50,1.8607,0.126,0.0,0.0020,1.5701,0.0026,2.0398,05/03/2022 12:18:47,,,,0.23,0.0020,0.0000,0.0026,0.0000,0.0026,2.0952,14761.603,
,,16,65.00,1.9608,0.126,0.0,0.0023,1.8063,0.0031,2.4914,05/03/2022 12:18:55,,,,0.25,0.0023,0.0000,0.0031,0.0000,0.0030,2.3597,15555.732,
,,17,68.80,2.0005,0.126,0.0,0.0024,1.9119,0.0034,2.7007,05/03/2022 12:18:59,,,,0.25,0.0024,0.0000,0.0034,0.0000,0.0034,2.6599,15870.686,
,2,CC_DChg,60.10,0.0021,1.6693,0.0016,1.3019,0.00000,1.9791,0.0096,0.0,0.0,0.0021,0.0000,0.6491,84.907,0.0000,0.0021,0.0000,0.0016,0.0021,0.0016,2,
,,18,0.00,1.9791,-0.126,0.0,0.0000,0.0000,0.0000,0.0000,05/03/2022 12:18:59,,,,-0.25,0.0000,0.0000,0.0000,0.0000,0.1126,89.3394,15708.390,
,,19,1.40,1.8756,-0.126,0.0,0.0000,0.0389,0.0001,0.0748,05/03/2022 12:19:00,,,,-0.24,0.0000,0.0000,0.0000,0.0001,-0.0005,-0.3757,14886.896,
,,20,3.20,1.7705,-0.126,0.0,0.0001,0.0889,0.0002,0.1657,05/03/2022 12:19:02,,,,-0.22,0.0000,0.0001,0.0000,0.0002,-0.0006,-0.4757,14052.703,
,,21,5.20,1.6675,-0.126,0.0,0.0002,0.1444,0.0003,0.2611,05/03/2022 12:19:04,,,,-0.21,0.0000,0.0002,0.0000,0.0003,-0.0007,-0.5393,13235.177,
,,22,7.30,1.5671,-0.126,0.0,0.0003,0.2028,0.0004,0.3552,05/03/2022 12:19:06,,,,-0.20,0.0000,0.0003,0.0000,0.0004,-0.0007,-0.5810,12438.289,
,,23,9.50,1.4667,-0.126,0.0,0.0003,0.2639,0.0006,0.4478,05/03/2022 12:19:08,,,,-0.18,0.0000,0.0003,0.0000,0.0006,-0.0008,-0.6086,11641.400,
,,24,11.90,1.3625,-0.126,0.0,0.0004,0.3305,0.0007,0.5419,05/03/2022 12:19:11,,,,-0.17,0.0000,0.0004,0.0000,0.0007,-0.0008,-0.6398,10814.350,
,,25,14.30,1.2605,-0.126,0.0,0.0005,0.3972,0.0008,0.6292,05/03/2022 12:19:13,,,,-0.16,0.0000,0.0005,0.0000,0.0008,-0.0008,-0.6535,10004.762,
,,26,16.70,1.1604,-0.126,0.0,0.0006,0.4639,0.0009,0.7097,05/03/2022 12:19:16,,,,-0.15,0.0000,0.0006,0.0000,0.0009,-0.0008,-0.6660,9210.255,
,,27,19.20,1.0596,-0.126,0.0,0.0007,0.5333,0.0010,0.7867,05/03/2022 12:19:18,,,,-0.13,0.0000,0.0007,0.0000,0.0010,-0.0009,-0.6889,8410.191,
,,28,21.90,0.9561,-0.126,0.0,0.0008,0.6083,0.0011,0.8620,05/03/2022 12:19:21,,,,-0.12,0.0000,0.0008,0.0000,0.0011,-0.0009,-0.7246,7588.698,
,,29,24.80,0.8531,-0.126,0.0,0.0009,0.6888,0.0012,0.9347,05/03/2022 12:19:24,,,,-0.11,0.0000,0.0009,0.0000,0.0012,-0.0010,-0.7820,6771.172,
,,30,28.00,0.7499,-0.126,0.0,0.0010,0.7777,0.0013,1.0057,05/03/2022 12:19:27,,,,-0.09,0.0000,0.0010,0.0000,0.0013,-0.0011,-0.8613,5952.060,
,,31,31.20,0.6491,-0.126,0.0,0.0011,0.8666,0.0013,1.0677,05/03/2022 12:19:30,,,,-0.08,0.0000,0.0011,0.0000,0.0013,-0.0011,-0.8817,5151.996,
,,32,34.70,0.5468,-0.126,0.0,0.0012,0.9638,0.0014,1.1256,05/03/2022 12:19:34,,,,-0.07,0.0000,0.0012,0.0000,0.0014,-0.0012,-0.9503,4340.027,
,,33,38.40,0.4454,-0.126,0.0,0.0013,1.0666,0.0015,1.1764,05/03/2022 12:19:37,,,,-0.06,0.0000,0.0013,0.0000,0.0015,-0.0013,-1.0135,3535.201,
,,34,42.50,0.3441,-0.126,0.0,0.0015,1.1805,0.0015,1.2210,05/03/2022 12:19:41,,,,-0.04,0.0000,0.0015,0.0000,0.0015,-0.0014,-1.1242,2731.169,
,,35,47.10,0.2433,-0.126,0.0,0.0016,1.3082,0.0016,1.2583,05/03/2022 12:19:46,,,,-0.03,0.0000,0.0016,0.0000,0.0016,-0.0016,-1.2675,1931.106,
,,36,52.30,0.1432,-0.126,0.0,0.0018,1.4527,0.0016,1.2859,05/03/2022 12:19:51,,,,-0.02,0.0000,0.0018,0.0000,0.0016,-0.0018,-1.4429,1136.598,
,,37,58.10,0.0421,-0.126,0.0,0.0020,1.6138,0.0016,1.3005,05/03/2022 12:19:57,,,,-0.01,0.0000,0.0020,0.0000,0.0016,-0.0020,-1.5935,334.154,
,,38,60.10,0.0096,-0.126,0.0,0.0021,1.6693,0.0016,1.3019,05/03/2022 12:19:59,,,,-0.00,0.0000,0.0021,0.0000,0.0016,-0.0022,-1.7093,76.197,
2,0.0025,0.0020,1.9730,1.6221,82.214,0.0031,0.0016,2.4890,1.2737,100.00,0.0025,0.0000,0.0000,0.00,0.00,0.00000,0.00000,0.000,0.6491,97.17,71.00,58.40,77.369,98.397,0.0,-0.0004,-0.0015,51.173,
,3,CC_Chg,71.00,0.0025,1.9730,0.0031,2.4890,0.00000,0.0291,2.0005,0.0,0.0,0.0025,1.3504,0.0000,77.369,0.0025,0.0000,0.0000,0.0000,-0.0025,-0.3136,1,
,,39,0.00,0.0291,0.126,0.0,0.0000,0.0000,0.0000,0.0000,05/03/2022 12:19:59,,,,0.00,0.0000,0.0000,0.0000,0.0000,-0.1079,-85.6056,230.861,
,,40,1.80,0.1305,0.126,0.0,0.0001,0.0500,0.0000,0.0039,05/03/2022 12:20:01,,,,0.02,0.0001,0.0000,0.0000,0.0000,0.0006,0.4933,1035.303,
,,41,3.80,0.2318,0.126,0.0,0.0001,0.1056,0.0000,0.0142,05/03/2022 12:20:03,,,,0.03,0.0001,0.0000,0.0000,0.0000,0.0007,0.5486,1838.953,
,,42,6.10,0.3354,0.126,0.0,0.0002,0.1695,0.0000,0.0325,05/03/2022 12:20:05,,,,0.04,0.0002,0.0000,0.0000,0.0000,0.0008,0.6169,2660.849,
,,43,8.50,0.4365,0.126,0.0,0.0003,0.2362,0.0001,0.0584,05/03/2022 12:20:08,,,,0.06,0.0003,0.0000,0.0001,0.0000,0.0008,0.6597,3462.912,
,,44,11.00,0.5391,0.126,0.0,0.0004,0.3057,0.0001,0.0925,05/03/2022 12:20:10,,,,0.07,0.0004,0.0000,0.0001,0.0000,0.0009,0.6771,4276.874,
,,45,13.50,0.6395,0.126,0.0,0.0005,0.3751,0.0002,0.1336,05/03/2022 12:20:13,,,,0.08,0.0005,0.0000,0.0002,0.0000,0.0009,0.6919,5073.384,
,,46,16.10,0.7412,0.126,0.0,0.0006,0.4474,0.0002,0.1836,05/03/2022 12:20:15,,,,0.09,0.0006,0.0000,0.0002,0.0000,0.0009,0.7104,5880.206,
,,47,18.70,0.8420,0.126,0.0,0.0007,0.5196,0.0003,0.2410,05/03/2022 12:20:18,,,,0.11,0.0007,0.0000,0.0003,0.0000,0.0009,0.7168,6679.889,
,,48,21.40,0.9427,0.126,0.0,0.0007,0.5947,0.0004,0.3081,05/03/2022 12:20:20,,,,0.12,0.0007,0.0000,0.0004,0.0000,0.0009,0.7451,7478.778,
,,49,24.40,1.0429,0.126,0.0,0.0009,0.6780,0.0005,0.3911,05/03/2022 12:20:23,,,,0.13,0.0009,0.0000,0.0005,0.0000,0.0010,0.8320,8273.701,
,,50,27.60,1.1449,0.126,0.0,0.0010,0.7670,0.0006,0.4885,05/03/2022 12:20:27,,,,0.14,0.0010,0.0000,0.0006,0.0000,0.0011,0.8718,9082.904,
,,51,30.80,1.2478,0.126,0.0,0.0011,0.8559,0.0007,0.5950,05/03/2022 12:20:30,,,,0.16,0.0011,0.0000,0.0007,0.0000,0.0011,0.8642,9899.246,
,,52,34.20,1.3504,0.126,0.0,0.0012,0.9504,0.0009,0.7180,05/03/2022 12:20:33,,,,0.17,0.0012,0.0000,0.0009,0.0000,0.0012,0.9209,10713.209,
,,53,37.90,1.4518,0.126,0.0,0.0013,1.0532,0.0011,0.8623,05/03/2022 12:20:37,,,,0.18,0.0013,0.0000,0.0011,0.0000,0.0013,1.0140,11517.652,
,,54,42.10,1.5519,0.126,0.0,0.0015,1.1699,0.0013,1.0378,05/03/2022 12:20:41,,,,0.20,0.0015,0.0000,0.0013,0.0000,0.0015,1.1660,12311.781,
,,55,46.90,1.6524,0.126,0.0,0.0016,1.3033,0.0016,1.2518,05/03/2022 12:20:46,,,,0.21,0.0016,0.0000,0.0016,0.0000,0.0017,1.3272,13109.084,
,,56,52.40,1.7531,0.126,0.0,0.0018,1.4561,0.0019,1.5124,05/03/2022 12:20:51,,,,0.22,0.0018,0.0000,0.0019,0.0000,0.0019,1.5177,13907.973,
,,57,58.70,1.8532,0.126,0.0,0.0021,1.6312,0.0023,1.8284,05/03/2022 12:20:58,,,,0.23,0.0021,0.0000,0.0023,0.0000,0.0022,1.7490,14702.102,
,,58,66.50,1.9537,0.126,0.0,0.0023,1.8479,0.0028,2.2417,05/03/2022 12:21:06,,,,0.25,0.0023,0.0000,0.0028,0.0000,0.0027,2.1567,15499.405,
,,59,71.00,2.0005,0.126,0.0,0.0025,1.9730,0.0031,2.4890,05/03/2022 12:21:10,,,,0.25,0.0025,0.0000,0.0031,0.0000,0.0034,2.6720,15870.686,
,4,CC_DChg,58.40,0.0020,1.6221,0.0016,1.2737,0.00000,1.9757,0.0086,0.0,0.0,0.0020,0.0000,0.6491,98.397,0.0000,0.0020,0.0000,0.0016,0.0020,0.0016,2,
,,60,0.00,1.9757,-0.126,0.0,0.0000,0.0000,0.0000,0.0000,05/03/2022 12:21:10,,,,-0.25,0.0000,0.0000,0.0000,0.0000,0.1002,79.5563,15681.403,
,,61,1.40,1.8737,-0.126,0.0,0.0000,0.0389,0.0001,0.0747,05/03/2022 12:21:11,,,,-0.24,0.0000,0.0000,0.0000,0.0001,-0.0005,-0.3812,14871.815,
,,62,3.10,1.7733,-0.126,0.0,0.0001,0.0861,0.0002,0.1606,05/03/2022 12:21:13,,,,-0.22,0.0000,0.0001,0.0000,0.0002,-0.0006,-0.4703,14074.927,
,,63,5.10,1.6679,-0.126,0.0,0.0002,0.1417,0.0003,0.2560,05/03/2022 12:21:15,,,,-0.21,0.0000,0.0002,0.0000,0.0003,-0.0007,-0.5271,13238.352,
,,64,7.20,1.5659,-0.126,0.0,0.0003,0.2000,0.0004,0.3502,05/03/2022 12:21:17,,,,-0.20,0.0000,0.0003,0.0000,0.0004,-0.0007,-0.5719,12428.764,
,,65,9.40,1.4639,-0.126,0.0,0.0003,0.2611,0.0006,0.4426,05/03/2022 12:21:19,,,,-0.18,0.0000,0.0003,0.0000,0.0006,-0.0008,-0.5991,11619.176,
,,66,11.70,1.3619,-0.126,0.0,0.0004,0.3250,0.0007,0.5327,05/03/2022 12:21:22,,,,-0.17,0.0000,0.0004,0.0000,0.0007,-0.0008,-0.6263,10809.588,
,,67,14.10,1.2599,-0.126,0.0,0.0005,0.3916,0.0008,0.6199,05/03/2022 12:21:24,,,,-0.16,0.0000,0.0005,0.0000,0.0008,-0.0008,-0.6535,10000.000,
,,68,16.50,1.1594,-0.126,0.0,0.0006,0.4583,0.0009,0.7004,05/03/2022 12:21:27,,,,-0.15,0.0000,0.0006,0.0000,0.0009,-0.0008,-0.6633,9202.318,
,,69,19.00,1.0577,-0.126,0.0,0.0007,0.5277,0.0010,0.7772,05/03/2022 12:21:29,,,,-0.13,0.0000,0.0007,0.0000,0.0010,-0.0009,-0.6828,8395.111,
,,70,21.60,0.9548,-0.126,0.0,0.0008,0.6000,0.0011,0.8497,05/03/2022 12:21:32,,,,-0.12,0.0000,0.0008,0.0000,0.0011,-0.0009,-0.7018,7578.379,
,,71,24.30,0.8537,-0.126,0.0,0.0009,0.6749,0.0012,0.9173,05/03/2022 12:21:34,,,,-0.11,0.0000,0.0009,0.0000,0.0012,-0.0009,-0.7418,6775.935,
,,72,27.30,0.7517,-0.126,0.0,0.0010,0.7583,0.0012,0.9839,05/03/2022 12:21:37,,,,-0.09,0.0000,0.0010,0.0000,0.0012,-0.0010,-0.8169,5966.347,
,,73,30.60,0.6491,-0.126,0.0,0.0011,0.8499,0.0013,1.0480,05/03/2022 12:21:41,,,,-0.08,0.0000,0.0011,0.0000,0.0013,-0.0011,-0.8934,5151.996,
,,74,34.00,0.5465,-0.126,0.0,0.0012,0.9444,0.0014,1.1042,05/03/2022 12:21:44,,,,-0.07,0.0000,0.0012,0.0000,0.0014,-0.0012,-0.9204,4337.646,
,,75,37.60,0.4464,-0.126,0.0,0.0013,1.0444,0.0015,1.1537,05/03/2022 12:21:48,,,,-0.06,0.0000,0.0013,0.0000,0.0015,-0.0013,-0.9989,3544.826,
,,76,41.50,0.3459,-0.126,0.0,0.0015,1.1527,0.0015,1.1964,05/03/2022 12:21:52,,,,-0.04,0.0000,0.0015,0.0000,0.0015,-0.0014,-1.0779,2745.456,
,,77,45.90,0.2439,-0.126,0.0,0.0016,1.2749,0.0016,1.2322,05/03/2022 12:21:56,,,,-0.03,0.0000,0.0016,0.0000,0.0016,-0.0015,-1.1981,1935.868,
,,78,50.80,0.1435,-0.126,0.0,0.0018,1.4110,0.0016,1.2583,05/03/2022 12:22:01,,,,-0.02,0.0000,0.0018,0.0000,0.0016,-0.0017,-1.3556,1138.979,
,,79,56.40,0.0421,-0.126,0.0,0.0020,1.5665,0.0016,1.2724,05/03/2022 12:22:06,,,,-0.01,0.0000,0.0020,0.0000,0.0016,-0.0019,-1.5340,334.154,
,,80,58.40,0.0086,-0.126,0.0,0.0020,1.6221,0.0016,1.2737,05/03/2022 12:22:08,,,,-0.00,0.0000,0.0020,0.0000,0.0016,-0.0021,-1.6582,68.259,
3,0.0024,0.0020,1.8924,1.5971,84.395,0.0030,0.0016,2.3729,1.2588,100.00,0.0024,0.0000,0.0000,0.00,0.00,0.00000,0.00000,0.000,0.6463,95.67,68.10,57.50,76.575,89.668,0.0,-0.0004,-0.0014,53.049,
,5,CC_Chg,68.10,0.0024,1.8924,0.0030,2.3729,0.00000,0.0279,2.0002,0.0,0.0,0.0024,1.3519,0.0000,76.575,0.0024,0.0000,0.0000,0.0000,-0.0024,-0.2990,1,
,,81,0.00,0.0279,0.126,0.0,0.0000,0.0000,0.0000,0.0000,05/03/2022 12:22:09,,,,0.00,0.0000,0.0000,0.0000,0.0000,-0.1059,-84.0459,221.341,
,,82,1.80,0.1286,0.126,0.0,0.0001,0.0500,0.0000,0.0039,05/03/2022 12:22:10,,,,0.02,0.0001,0.0000,0.0000,0.0000,0.0006,0.4967,1020.230,
,,83,3.80,0.2294,0.126,0.0,0.0001,0.1056,0.0000,0.0140,05/03/2022 12:22:12,,,,0.03,0.0001,0.0000,0.0000,0.0000,0.0007,0.5514,1819.913,
,,84,6.10,0.3326,0.126,0.0,0.0002,0.1695,0.0000,0.0321,05/03/2022 12:22:15,,,,0.04,0.0002,0.0000,0.0000,0.0000,0.0008,0.6193,2638.635,
,,85,8.40,0.4330,0.126,0.0,0.0003,0.2334,0.0001,0.0568,05/03/2022 12:22:17,,,,0.05,0.0003,0.0000,0.0001,0.0000,0.0008,0.6366,3435.145,
,,86,10.80,0.5354,0.126,0.0,0.0004,0.3001,0.0001,0.0892,05/03/2022 12:22:19,,,,0.07,0.0004,0.0000,0.0001,0.0000,0.0008,0.6513,4247.521,
,,87,13.20,0.6364,0.126,0.0,0.0005,0.3668,0.0002,0.1285,05/03/2022 12:22:22,,,,0.08,0.0005,0.0000,0.0002,0.0000,0.0008,0.6603,5048.790,
,,88,15.70,0.7403,0.126,0.0,0.0005,0.4363,0.0002,0.1764,05/03/2022 12:22:24,,,,0.09,0.0005,0.0000,0.0002,0.0000,0.0008,0.6686,5873.066,
,,89,18.30,0.8438,0.126,0.0,0.0006,0.5085,0.0003,0.2338,05/03/2022 12:22:27,,,,0.11,0.0006,0.0000,0.0003,0.0000,0.0009,0.6981,6694.169,
,,90,21.10,0.9471,0.126,0.0,0.0007,0.5863,0.0004,0.3037,05/03/2022 12:22:30,,,,0.12,0.0007,0.0000,0.0004,0.0000,0.0009,0.7532,7513.685,
,,91,24.10,1.0487,0.126,0.0,0.0008,0.6697,0.0005,0.3871,05/03/2022 12:22:33,,,,0.13,0.0008,0.0000,0.0005,0.0000,0.0010,0.8205,8319.714,
,,92,27.00,1.1507,0.126,0.0,0.0009,0.7503,0.0006,0.4759,05/03/2022 12:22:36,,,,0.15,0.0009,0.0000,0.0006,0.0000,0.0010,0.7901,9128.917,
,,93,30.00,1.2518,0.126,0.0,0.0011,0.8337,0.0007,0.5762,05/03/2022 12:22:39,,,,0.16,0.0011,0.0000,0.0007,0.0000,0.0010,0.8246,9930.980,
,,94,33.20,1.3519,0.126,0.0,0.0012,0.9226,0.0009,0.6922,05/03/2022 12:22:42,,,,0.17,0.0012,0.0000,0.0009,0.0000,0.0011,0.8883,10725.109,
,,95,36.80,1.4530,0.126,0.0,0.0013,1.0226,0.0010,0.8327,05/03/2022 12:22:45,,,,0.18,0.0013,0.0000,0.0010,0.0000,0.0012,0.9895,11527.172,
,,96,40.80,1.5535,0.126,0.0,0.0014,1.1338,0.0013,1.0001,05/03/2022 12:22:49,,,,0.20,0.0014,0.0000,0.0013,0.0000,0.0014,1.1060,12324.474,
,,97,45.30,1.6539,0.126,0.0,0.0016,1.2588,0.0015,1.2008,05/03/2022 12:22:54,,,,0.21,0.0016,0.0000,0.0015,0.0000,0.0016,1.2455,13120.984,
,,98,50.50,1.7559,0.126,0.0,0.0018,1.4033,0.0018,1.4475,05/03/2022 12:22:59,,,,0.22,0.0018,0.0000,0.0018,0.0000,0.0018,1.4167,13936.820,
,,99,56.40,1.8560,0.126,0.0,0.0020,1.5673,0.0022,1.7440,05/03/2022 12:23:05,,,,0.23,0.0020,0.0000,0.0022,0.0000,0.0021,1.6379,14724.316,
,,100,64.00,1.9571,0.126,0.0,0.0022,1.7785,0.0027,2.1473,05/03/2022 12:23:13,,,,0.25,0.0022,0.0000,0.0027,0.0000,0.0026,2.0890,15526.378,
,,101,68.10,2.0002,0.126,0.0,0.0024,1.8924,0.0030,2.3729,05/03/2022 12:23:17,,,,0.25,0.0024,0.0000,0.0030,0.0000,0.0033,2.6435,15868.306,
,6,CC_DChg,57.50,0.0020,1.5971,0.0016,1.2588,0.00000,1.9776,0.0093,0.0,0.0,0.0020,0.0000,0.6463,89.668,0.0000,0.0020,0.0000,0.0016,0.0020,0.0016,2,
,,102,0.00,1.9776,-0.126,0.0,0.0000,0.0000,0.0000,0.0000,05/03/2022 12:23:17,,,,-0.25,0.0000,0.0000,0.0000,0.0000,0.1055,83.7350,15696.484,
,,103,1.40,1.8737,-0.126,0.0,0.0000,0.0389,0.0001,0.0747,05/03/2022 12:23:18,,,,-0.24,0.0000,0.0000,0.0000,0.0001,-0.0005,-0.3742,14871.815,
,,104,3.10,1.7705,-0.126,0.0,0.0001,0.0861,0.0002,0.1605,05/03/2022 12:23:20,,,,-0.22,0.0000,0.0001,0.0000,0.0002,-0.0006,-0.4575,14052.703,
,,105,5.00,1.6697,-0.126,0.0,0.0002,0.1389,0.0003,0.2512,05/03/2022 12:23:22,,,,-0.21,0.0000,0.0002,0.0000,0.0003,-0.0007,-0.5236,13252.639,
,,106,7.10,1.5665,-0.126,0.0,0.0002,0.1972,0.0004,0.3454,05/03/2022 12:23:24,,,,-0.20,0.0000,0.0002,0.0000,0.0004,-0.0007,-0.5652,12433.526,
,,107,9.30,1.4639,-0.126,0.0,0.0003,0.2583,0.0006,0.4379,05/03/2022 12:23:26,,,,-0.18,0.0000,0.0003,0.0000,0.0006,-0.0008,-0.5956,11619.176,
,,108,11.60,1.3622,-0.126,0.0,0.0004,0.3222,0.0007,0.5280,05/03/2022 12:23:28,,,,-0.17,0.0000,0.0004,0.0000,0.0007,-0.0008,-0.6282,10811.969,
,,109,14.00,1.2583,-0.126,0.0,0.0005,0.3889,0.0008,0.6152,05/03/2022 12:23:31,,,,-0.16,0.0000,0.0005,0.0000,0.0008,-0.0008,-0.6416,9987.301,
,,110,16.40,1.1579,-0.126,0.0,0.0006,0.4555,0.0009,0.6955,05/03/2022 12:23:33,,,,-0.15,0.0000,0.0006,0.0000,0.0009,-0.0008,-0.6639,9190.412,
,,111,18.90,1.0559,-0.126,0.0,0.0007,0.5250,0.0010,0.7722,05/03/2022 12:23:36,,,,-0.13,0.0000,0.0007,0.0000,0.0010,-0.0009,-0.6808,8380.824,
,,112,21.50,0.9533,-0.126,0.0,0.0008,0.5972,0.0011,0.8446,05/03/2022 12:23:38,,,,-0.12,0.0000,0.0008,0.0000,0.0011,-0.0009,-0.7039,7566.474,
,,113,24.20,0.8494,-0.126,0.0,0.0008,0.6722,0.0011,0.9120,05/03/2022 12:23:41,,,,-0.11,0.0000,0.0008,0.0000,0.0011,-0.0009,-0.7218,6741.805,
,,114,27.10,0.7465,-0.126,0.0,0.0009,0.7527,0.0012,0.9761,05/03/2022 12:23:44,,,,-0.09,0.0000,0.0009,0.0000,0.0012,-0.0010,-0.7828,5925.073,
